10-digit PSGC,Name,Correspondence Code,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2020 CPH)",2015 Population,,2020 Population,,Status
100000000,Region I (Ilocos Region),10000000,Reg,,,,,"5,026,128",,"5,301,139",,
102800000,Ilocos Norte,12800000,Prov,,,1st,,"593,081",,"609,588",,
102801000,Adams,12801000,Mun,,,5th,,"1,792",,"2,189",,
102801001,Adams,12801001,Bgy,,,,R,"1,792",,"2,189",,Pob.
102802000,Bacarra,12802000,Mun,,,3rd,,"32,215",,"33,496",,
102802001,Bani,12802001,Bgy,,,,R,853,,"1,079",,
102802002,Buyon,12802002,Bgy,,,,R,"1,596",,"1,669",,
102802003,Cabaruan,12802003,Bgy,,,,R,"1,413",,"1,418",,
102802004,Cabulalaan,12802004,Bgy,,,,R,733,,733,,
102802005,Cabusligan,12802005,Bgy,,,,R,"1,038",,"1,170",,
102802006,Cadaratan,12802006,Bgy,,,,R,"1,192",,"1,212",,
102802007,Calioet-Libong,12802007,Bgy,,,,R,823,,827,,
102802008,Casilian,12802008,Bgy,,,,R,992,,"1,061",,
102802009,Corocor,12802009,Bgy,,,,R,814,,867,,
102802011,Duripes,12802011,Bgy,,,,R,"1,010",,"1,036",,
102802012,Ganagan,12802012,Bgy,,,,R,699,,701,,
102802013,Libtong,12802013,Bgy,,,,R,"1,587",,"1,620",,
102802014,Macupit,12802014,Bgy,,,,R,625,,647,,
102802015,Nambaran,12802015,Bgy,,,,R,982,,"1,004",,
102802016,Natba,12802016,Bgy,,,,R,530,,560,,
102802017,Paninaan,12802017,Bgy,,,,R,440,,435,,
102802018,Pasiocan,12802018,Bgy,,,,R,"1,162",,"1,209",,
102802019,Pasngal,12802019,Bgy,,,,R,760,,799,,
102802020,Pipias,12802020,Bgy,,,,R,"1,049",,"1,047",,
102802021,Pulangi,12802021,Bgy,,,,R,"1,082",,"1,091",,
102802022,Pungto,12802022,Bgy,,,,R,571,,554,,
102802024,San Agustin I ,12802024,Bgy,,,,R,546,,544,,Pob.
102802025,San Agustin II ,12802025,Bgy,,,,R,274,,281,,Pob.
102802027,San Andres I ,12802027,Bgy,,,,R,782,,796,,Pob.
102802028,San Andres II ,12802028,Bgy,,,,R,694,,724,,Pob.
102802030,San Gabriel I ,12802030,Bgy,,,,R,269,,294,,Pob.
102802031,San Gabriel II ,12802031,Bgy,,,,R,390,,406,,Pob.
102802033,San Pedro I ,12802033,Bgy,,,,R,385,,393,,Pob.
102802034,San Pedro II ,12802034,Bgy,,,,R,597,,585,,Pob.
102802036,San Roque I ,12802036,Bgy,,,,R,524,,530,,Pob.
102802037,San Roque II ,12802037,Bgy,,,,R,352,,399,,Pob.
102802039,San Simon I ,12802039,Bgy,,,,R,626,,637,,Pob.
102802040,San Simon II ,12802040,Bgy,,,,R,333,,341,,Pob.
102802041,San Vicente ,12802041,Bgy,,,,R,649,,723,,Pob.
102802042,Sangil,12802042,Bgy,,,,R,"1,031",,"1,097",,
102802044,Santa Filomena I ,12802044,Bgy,,,,R,264,,276,,Pob.
102802045,Santa Filomena II ,12802045,Bgy,,,,R,342,,344,,Pob.
102802046,Santa Rita ,12802046,Bgy,,,,R,"1,104",,"1,119",,Pob.
102802047,Santo Cristo I ,12802047,Bgy,,,,R,409,,422,,Pob.
102802048,Santo Cristo II ,12802048,Bgy,,,,R,420,,459,,Pob.
102802050,Tambidao,12802050,Bgy,,,,R,775,,813,,
102802051,Teppang,12802051,Bgy,,,,R,643,,706,,
