"10-digit PSGC","Name","Correspondence Code","Geographic Level","Old names","City Class","Income
Classification","Urban / Rural
(based on 2020 CPH)","2015 Population","","2020 Population","","Status"
"0100000000","Region I (Ilocos Region)","010000000","Reg","","","","","  5,026,128 ","","  5,301,139 ","",""
"0102800000","Ilocos Norte","012800000","Prov","","","1st","","  593,081 ","","  609,588 ","",""
"0102801000","Adams","012801000","Mun","","","5th","","  1,792 ","","  2,189 ","",""
"0102801001","Adams","012801001","Bgy","","","","R","  1,792 ","","  2,189 ","","Pob."
"0102802000","Bacarra","012802000","Mun","","","3rd","","  32,215 ","","  33,496 ","",""
"0102802001","Bani","012802001","Bgy","","","","R","  853 ","","  1,079 ","",""
"0102802002","Buyon","012802002","Bgy","","","","R","  1,596 ","","  1,669 ","",""
"0102802003","Cabaruan","012802003","Bgy","","","","R","  1,413 ","","  1,418 ","",""
"0102802004","Cabulalaan","012802004","Bgy","","","","R","  733 ","","  733 ","",""
"0102802005","Cabusligan","012802005","Bgy","","","","R","  1,038 ","","  1,170 ","",""
"0102802006","Cadaratan","012802006","Bgy","","","","R","  1,192 ","","  1,212 ","",""
"0102802007","Calioet-Libong","012802007","Bgy","","","","R","  823 ","","  827 ","",""
"0102802008","Casilian","012802008","Bgy","","","","R","  992 ","","  1,061 ","",""
"0102802009","Corocor","012802009","Bgy","","","","R","  814 ","","  867 ","",""
"0102802011","Duripes","012802011","Bgy","","","","R","  1,010 ","","  1,036 ","",""
"0102802012","Ganagan","012802012","Bgy","","","","R","  699 ","","  701 ","",""
"0102802013","Libtong","012802013","Bgy","","","","R","  1,587 ","","  1,620 ","",""
"0102802014","Macupit","012802014","Bgy","","","","R","  625 ","","  647 ","",""
"0102802015","Nambaran","012802015","Bgy","","","","R","  982 ","","  1,004 ","",""
"0102802016","Natba","012802016","Bgy","","","","R","  530 ","","  560 ","",""
"0102802017","Paninaan","012802017","Bgy","","","","R","  440 ","","  435 ","",""
"0102802018","Pasiocan","012802018","Bgy","","","","R","  1,162 ","","  1,209 ","",""
"0102802019","Pasngal","012802019","Bgy","","","","R","  760 ","","  799 ","",""
"0102802020","Pipias","012802020","Bgy","","","","R","  1,049 ","","  1,047 ","",""
"0102802021","Pulangi","012802021","Bgy","","","","R","  1,082 ","","  1,091 ","",""
"0102802022","Pungto","012802022","Bgy","","","","R","  571 ","","  554 ","",""
"0102802024","San Agustin I ","012802024","Bgy","","","","R","  546 ","","  544 ","","Pob."
"0102802025","San Agustin II ","012802025","Bgy","","","","R","  274 ","","  281 ","","Pob."
"0102802027","San Andres I ","012802027","Bgy","","","","R","  782 ","","  796 ","","Pob."
"0102802028","San Andres II ","012802028","Bgy","","","","R","  694 ","","  724 ","","Pob."
"0102802030","San Gabriel I ","012802030","Bgy","","","","R","  269 ","","  294 ","","Pob."
"0102802031","San Gabriel II ","012802031","Bgy","","","","R","  390 ","","  406 ","","Pob."
"0102802033","San Pedro I ","012802033","Bgy","","","","R","  385 ","","  393 ","","Pob."
"0102802034","San Pedro II ","012802034","Bgy","","","","R","  597 ","","  585 ","","Pob."
"0102802036","San Roque I ","012802036","Bgy","","","","R","  524 ","","  530 ","","Pob."
"0102802037","San Roque II ","012802037","Bgy","","","","R","  352 ","","  399 ","","Pob."
"0102802039","San Simon I ","012802039","Bgy","","","","R","  626 ","","  637 ","","Pob."
"0102802040","San Simon II ","012802040","Bgy","","","","R","  333 ","","  341 ","","Pob."
"0102802041","San Vicente ","012802041","Bgy","","","","R","  649 ","","  723 ","","Pob."
"0102802042","Sangil","012802042","Bgy","","","","R","  1,031 ","","  1,097 ","",""
"0102802044","Santa Filomena I ","012802044","Bgy","","","","R","  264 ","","  276 ","","Pob."
"0102802045","Santa Filomena II ","012802045","Bgy","","","","R","  342 ","","  344 ","","Pob."
"0102802046","Santa Rita ","012802046","Bgy","","","","R","  1,104 ","","  1,119 ","","Pob."
"0102802047","Santo Cristo I ","012802047","Bgy","","","","R","  409 ","","  422 ","","Pob."
"0102802048","Santo Cristo II ","012802048","Bgy","","","","R","  420 ","","  459 ","","Pob."
"0102802050","Tambidao","012802050","Bgy","","","","R","  775 ","","  813 ","",""
"0102802051","Teppang","012802051","Bgy","","","","R","  643 ","","  706 ","",""
"0102802052","Tubburan","012802052","Bgy","","","","R","  855 ","","  868 ","",""
"0102803000","Badoc","012803000","Mun","","","3rd","","  31,616 ","","  32,530 ","",""
"0102803001","Alay-Nangbabaan","012803001","Bgy","Alay 15-B","","","R","  1,079 ","","  1,090 ","",""
"0102803002","Alogoog","012803002","Bgy","","","","R","  936 ","","  974 ","",""
"0102803003","Ar-arusip","012803003","Bgy","","","","R","  799 ","","  808 ","",""
"0102803004","Aring","012803004","Bgy","","","","R","  1,351 ","","  1,362 ","",""
"0102803005","Balbaldez","012803005","Bgy","","","","R","  320 ","","  302 ","",""
"0102803006","Bato","012803006","Bgy","","","","R","  979 ","","  996 ","",""
"0102803007","Camanga","012803007","Bgy","","","","R","  1,126 ","","  1,213 ","",""
"0102803008","Canaan ","012803008","Bgy","","","","R","  573 ","","  603 ","","Pob."
"0102803009","Caraitan","012803009","Bgy","","","","R","  1,370 ","","  1,391 ","",""
"0102803011","Gabut Norte","012803011","Bgy","","","","R","  1,536 ","","  1,680 ","",""
"0102803012","Gabut Sur","012803012","Bgy","","","","R","  1,011 ","","  894 ","",""
"0102803013","Garreta ","012803013","Bgy","","","","U","  1,376 ","","  1,383 ","","Pob."
"0102803016","Labut","012803016","Bgy","","","","R","  765 ","","  848 ","",""
"0102803017","Lacuben","012803017","Bgy","","","","R","  1,422 ","","  1,703 ","",""
"0102803018","Lubigan","012803018","Bgy","","","","R","  1,260 ","","  1,381 ","",""
"0102803020","Mabusag Norte","012803020","Bgy","","","","R","  1,130 ","","  1,125 ","",""
"0102803021","Mabusag Sur","012803021","Bgy","","","","R","  1,133 ","","  1,135 ","",""
"0102803022","Madupayas","012803022","Bgy","","","","R","  861 ","","  848 ","",""
"0102803023","Morong","012803023","Bgy","","","","R","  854 ","","  892 ","",""
"0102803025","Nagrebcan","012803025","Bgy","","","","R","  525 ","","  528 ","",""
"0102803026","Napu","012803026","Bgy","","","","R","  1,488 ","","  1,514 ","",""
"0102803027","La Virgen Milagrosa","012803027","Bgy","Paguetpet","","","R","  1,080 ","","  1,095 ","",""
"0102803028","Pagsanahan Norte","012803028","Bgy","","","","R","  1,180 ","","  1,170 ","",""
"0102803029","Pagsanahan Sur","012803029","Bgy","","","","R","  1,337 ","","  1,412 ","",""
"0102803030","Paltit","012803030","Bgy","","","","R","  1,617 ","","  1,589 ","",""
